
#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,vifm, "an extensive terminal file manager that everyone likes."
,tree,"lists directory contents like trees. Used by vifm."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git, "gives the dark GTK theme used in system"
A,neovim-nightly-git,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa, "is the audio system."
,pulsemixer, "is an audio controller."
,pamixer, "is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,tmux,"is a terminal multiplexer."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xcape,"gives the special escape/super mappings of system."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,zathura-cb,"Adds comic book support to zathura"
A,python-ueberzug,"generates image previews in ranger and other terminal programs."
,poppler,"manipulates.pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used by vifm as well."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting, "provides fish-like syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs-git,"enables the mounting of cell phones."
A,neomutt,"enables the mounting of cell phones."
A,mutt-wizard-git,"interface to auto-configure mutt."
A,ttf-symbola,"provides unicode and emoji symbols."
,urlscan,"parses URLs in the terminal allowing keyboard-based selection."
,polybar,"polybar extension for top bar."
A,tremc ,"cross interface for transmission daemon."
,transmission-cli,"BitTorrent client (CLI tools - daemon &  web client)"
,thefuck,"corrects terminal mistakes"
,yarn,"npm alternative"
,ripgrep,"fuzzy sercher"
,cmus,"terminal music player"
,jq,"command-line JSON processor"
,neofetch,"display useful system information"
A,vtop,"replacement for htop"
,exa,"replacement for 'ls'"
,composer,"dependency manager for PHP"
,slock,"allows you to lock your computer, and quickly unlock with your password."
,paper-icon-theme-git,"icon theme"
A,plata-theme, "Gtk+ theme based on Material Design Refresh"
,nvm,"node version manager"
A,odttotext,""
A,docxtotext,""
A,antiword,""
A,dumptorrent,""
A,ttf-nerd-fonts-hack-complete-git, ""
A,lua-language-server-git,"Lua Language Server"
A,picom-ibhagwan-git, "with rounded corners"
A,typora,""
,alacritty,"terminal"



/* ,python,"python 3" */
/* ,pyton2,"python 2" */
/* ,pyton-pip,"pip for python3" */
/* ,pyton2-pip,"pip for python2" */
/* A,python-pdftotext,"" */
/* A,python-neovim-git,"ptyhon3 client to neovim" */

/* ,python-geoip,"Guess which country peers come from" */
/* A,python-xerox,"Copy magnet links to the system clipboard" */
